Portfolio,Geography,Category,Brand,Segment,Initial Sales,Margin,Min Trend,Max Trend,Min Contribution,Max Contribution
ACME,Europe,Tools,Aveda,Foundation,148997,12,-0.010697004191403209,0.16869466186759186,0.0378363757350727,0.31724732207890344
ACME,South America,Fragrance,Balmain,Face Cream,799539,24,-0.004413831962526191,0.14725596135770921,0.024542875158226146,0.4945706184574119
ACME,Asia,Tools,Elizabeth Arden,Hair Dye,96388,44,-0.048567906760908865,0.13547382159982008,0.08406825627828615,0.2729529683825156
ACME,North America,Makeup,Bobbi Brown,Bronzer,630007,47,-0.020150546647343753,0.07514329561331021,0.06279304604990404,0.3567492435181746
ACME,North America,Tools,Frederic Malle,Bronzer,652306,42,-0.0035490444008345057,0.17566361680255094,0.06517353308251471,0.4877486710919495
ACME,Asia,Skincare,Elizabeth Arden,Eye Liner,824049,23,-0.0848756661853034,0.19411101643793754,0.08385052706191881,0.15505559921654571
ACME,North America,Makeup,Balmain,Lipstick,84258,10,-0.09817320183903233,0.05613306462360043,0.04086276927668915,0.26744280371721973
ACME,Africa,Fragrance,Elizabeth Arden,Hair Dye,846507,35,-0.013103622715170599,0.0617047805980783,0.02742700828421924,0.4400769600781017
ACME,Africa,Fragrance,Balmain,Mascara,661286,17,-0.08047266667528392,0.18270867549718472,0.027856482759451358,0.472922273097952
ACME,South America,Skincare,Aveda,Foundation,819063,25,-0.09575212333681991,0.17233283810481925,0.07593578393160334,0.34049442318356204
ACME,South America,Hair,Aveda,Face Cream,657408,47,-0.08399038623425555,0.14269016832669407,0.06527036390162028,0.15736824101608937
ACME,Europe,Hair,Elizabeth Arden,Eye Liner,727804,19,-0.061588508875623074,0.19174478134792072,0.028570499072388005,0.460588633579062
ACME,South America,Fragrance,Bobbi Brown,Fragrance,893590,46,-0.078073429840742,0.1469645866988005,0.02305588551763812,0.16977862647637704
ACME,Africa,Skincare,Frederic Malle,Foundation,519800,35,-0.0694746370899557,0.08239779135942552,0.020861857464577555,0.24115113933284743
ACME,South America,Hair,Balmain,Fragrance,411099,37,-0.00247059485699537,0.15929634855753505,0.0665018782932734,0.25020319110490474
ACME,North America,Tools,Frederic Malle,Face Cream,947212,21,-0.029559445583742502,0.1468565517118456,0.0100106780419765,0.27891661594905126
ACME,Europe,Fragrance,Aveda,Face Cream,580509,29,-0.0287808271746796,0.19786170530150443,0.011648740834318936,0.41606632637237984
ACME,Europe,Tools,Bobbi Brown,Foundation,158269,23,-0.09053146252720773,0.08208436045621878,0.045059782206348584,0.4208577512409939
ACME,Africa,Skincare,Bobbi Brown,Eye Liner,948638,44,-0.026790163017730836,0.13968274045438986,0.07222148778485463,0.3878620293112457
ACME,South America,Tools,Frederic Malle,Lipstick,378066,38,-0.02606556670446951,0.1670251283337684,0.07255354388476636,0.10885146976863265
ACME,North America,Hair,Aveda,Bronzer,43550,21,-0.03402549815933678,0.10084746340072562,0.04871064462469216,0.3259380408868606
ACME,South America,Hair,Frederic Malle,Face Cream,286786,27,-0.0771563704002125,0.10695193746473566,0.07219662459441127,0.39899718235256
ACME,Asia,Makeup,Elizabeth Arden,Eye Liner,947943,11,-0.05769638209178151,0.18318527574924814,0.0568986561622113,0.27785009602461713
ACME,South America,Fragrance,Bobbi Brown,Face Cream,640381,11,-0.015372354533037466,0.11062923194133222,0.09792382751175839,0.4779744181461586
ACME,Africa,Skincare,Bobbi Brown,Toner,427799,26,-0.032979837065937365,0.1437099277843422,0.02462141924531498,0.42952420875214037
ACME,South America,Fragrance,Elizabeth Arden,Bronzer,271188,19,-0.026723116500009775,0.18338572062902386,0.06406005409350451,0.35526202619473235
ACME,Europe,Tools,Aveda,Face Cream,628173,27,-0.041262559987419116,0.08147398746358421,0.054211489835590335,0.12497007347300536
ACME,North America,Skincare,Bobbi Brown,Eye Liner,613826,31,-0.05504134008882216,0.1972815944528909,0.027501971019192502,0.36093849903325526
ACME,Africa,Skincare,Balmain,Face Cream,334158,28,-0.024094798993289174,0.1552930300955489,0.07749913889275331,0.46463184050088757
ACME,Asia,Hair,Balmain,Fragrance,815955,10,-0.0932074185633695,0.12441825412121674,0.034795721793879575,0.2517781547523806
ACME,North America,Tools,Aveda,Foundation,382429,33,-0.032683926721973594,0.11463808465264966,0.04435388371841875,0.43525301024214447
ACME,North America,Hair,Elizabeth Arden,Foundation,735903,45,-0.00027954921493208995,0.1931546923327257,0.04373475126287771,0.22526445714487162
ACME,Europe,Hair,Frederic Malle,Face Cream,640167,34,-0.02198080705319684,0.08085872412944996,0.031978402586915394,0.3280413166189211
ACME,Europe,Makeup,Aveda,Eye Liner,100629,45,-0.07094364884225447,0.0967524885268942,0.04876347985285647,0.35936976734831294
ACME,Europe,Hair,Frederic Malle,Fragrance,517704,40,-0.07221805052946195,0.09616891333218872,0.052601129283485655,0.371198015023558
ACME,Africa,Fragrance,Aveda,Lipstick,348974,40,-0.03327813894065411,0.09335095021016954,0.07697995055283768,0.45301972578573924
ACME,South America,Skincare,Balmain,Lipstick,317682,11,-0.010414574299146967,0.12028070678235339,0.07885617169393334,0.19384890680251285
ACME,North America,Hair,Elizabeth Arden,Fragrance,319454,28,-0.042205025915215716,0.19837688499017503,0.02427003714624959,0.2049478341155899
ACME,South America,Fragrance,Balmain,Mascara,938412,21,-0.04725977128299417,0.1833180150074326,0.06334950693947788,0.38161639732429475
ACME,South America,Tools,Elizabeth Arden,Eye Liner,125266,19,-0.08396158661563287,0.09919243524822294,0.0906578018451456,0.17087752499361525
ACME,Europe,Skincare,Frederic Malle,Lipstick,198362,40,-0.02845430446401835,0.11343051735952066,0.019790794799610475,0.28570816198558413
ACME,South America,Tools,Aveda,Mascara,456850,31,-0.029770138036210925,0.15042211195788974,0.05256226400807248,0.10801375363088606
ACME,North America,Fragrance,Bobbi Brown,Eye Liner,809131,32,-0.0033048607666152363,0.05257275210449212,0.07753178101675084,0.15639173479604565
ACME,North America,Tools,Bobbi Brown,Fragrance,241241,32,-0.06998078156943356,0.1730230488028472,0.0650342200944109,0.37153855401154456
ACME,Asia,Tools,Elizabeth Arden,Mascara,261249,24,-0.02435545236324682,0.18196970859678796,0.01905270909369615,0.3989846413927016
ACME,Africa,Tools,Elizabeth Arden,Mascara,76912,35,-0.056593473880237104,0.17858005014868011,0.045694551281587524,0.14612761329515075
ACME,South America,Hair,Balmain,Face Cream,679615,12,-0.044152720838386506,0.10625815803283044,0.05565155483951777,0.1910838201644788
ACME,Africa,Hair,Bobbi Brown,Hair Dye,89183,32,-0.018354614439944184,0.11929992610463123,0.09962610415446457,0.13956177861482044
ACME,Africa,Hair,Balmain,Hair Dye,70282,29,-0.07780049549810245,0.051858248285563374,0.026074711839128753,0.27336513757004677
ACME,Africa,Skincare,Frederic Malle,Eye Liner,68249,49,-0.06571312604725851,0.10990930220653264,0.09841813904441013,0.15044642829785332
ACME,Africa,Fragrance,Bobbi Brown,Face Cream,572464,48,-0.0226691329802403,0.11906402335499024,0.04385348058064996,0.27491840686675606
ACME,North America,Hair,Frederic Malle,Foundation,542451,17,-0.04295420847121391,0.1860461439602718,0.028028843746643925,0.3928393023204527
ACME,South America,Tools,Aveda,Bronzer,850642,27,-0.09075770830949298,0.18409815106358712,0.047269817391159645,0.37335545325736696
ACME,Asia,Tools,Balmain,Bronzer,133844,15,-0.056981413322148705,0.19491455961318643,0.06525956116313354,0.2121841947407381
ACME,Africa,Tools,Elizabeth Arden,Mascara,376731,36,-0.041336668702698365,0.18276574776357807,0.02921476545198963,0.36950501969877303
ACME,Asia,Tools,Bobbi Brown,Toner,765640,45,-0.009048268355494743,0.051230106414146846,0.0362295174971915,0.4710848523598308
ACME,North America,Makeup,Balmain,Lipstick,344123,24,-0.08115119500613614,0.14621912784983299,0.08690918515617609,0.23900975483396622
ACME,North America,Skincare,Elizabeth Arden,Lipstick,613148,46,-0.019404703162251707,0.06023565246545612,0.0999108515501981,0.23164766147904264
ACME,Europe,Fragrance,Aveda,Face Cream,162215,14,-0.08693755169234087,0.09088914295699782,0.038635542234858385,0.32857546059280696
ACME,Africa,Fragrance,Bobbi Brown,Hair Dye,801352,48,-0.07577643399241929,0.13674614442058708,0.023397112355494624,0.19820072441098874
ACME,Europe,Hair,Frederic Malle,Toner,617199,18,-0.0756656116509877,0.15509207276113085,0.08138537379946374,0.36063157119210076
ACME,Asia,Makeup,Aveda,Face Cream,834428,16,-0.012252080409116739,0.14819480388756429,0.06404101185476307,0.4329047082689924
ACME,South America,Fragrance,Elizabeth Arden,Mascara,414964,29,-0.0800982307985013,0.05735875511129648,0.019036102903804104,0.2837274020394528
ACME,Europe,Skincare,Bobbi Brown,Toner,366215,19,-0.021303927301459094,0.06554058043543282,0.0952094333292419,0.371802929971353
ACME,North America,Tools,Bobbi Brown,Lipstick,57252,35,-0.05381934659803801,0.06928802193969101,0.01702445755599028,0.36075416955319817
ACME,Africa,Hair,Aveda,Eye Liner,919166,13,-9.092322026892086e-05,0.06371215651545367,0.0662820761470277,0.11546622473903581
ACME,Asia,Skincare,Bobbi Brown,Mascara,466395,47,-0.01609085013478946,0.07673516349039834,0.048154353030422335,0.17336651807031056
ACME,North America,Fragrance,Elizabeth Arden,Face Cream,933954,33,-0.0260296865552182,0.1532731686967339,0.060096152641594236,0.45741200072725197
ACME,South America,Makeup,Aveda,Foundation,62756,23,-0.012927369334780447,0.17462558767387296,0.029189277609413,0.47555685894600774
ACME,Africa,Hair,Frederic Malle,Fragrance,846667,10,-0.03659696073949664,0.11132208351101155,0.07192993593255866,0.4121758559644709
ACME,South America,Fragrance,Aveda,Mascara,362690,26,-0.015634774347150243,0.15391722596425156,0.09637477202200058,0.46849925933107783
ACME,South America,Hair,Aveda,Mascara,403236,33,-0.07388731526385442,0.08000243918987399,0.05125832866404242,0.22245946036742992
ACME,Africa,Fragrance,Frederic Malle,Foundation,922234,36,-0.09022967888989251,0.19599202274501126,0.057066244981140456,0.19908438871161882
ACME,Africa,Tools,Elizabeth Arden,Eye Liner,221325,16,-0.03840679929133313,0.10249962842864276,0.03158305035119932,0.253720075024208
ACME,South America,Makeup,Balmain,Foundation,380565,18,-0.0565309607336414,0.17688003593072527,0.09026811853759731,0.12213679942018114
ACME,Asia,Tools,Balmain,Bronzer,937168,44,-0.057355920470756806,0.1918049558944081,0.09740569646259624,0.42394864761653117
ACME,Africa,Fragrance,Frederic Malle,Bronzer,338779,21,-0.04732521475699539,0.17970709443129534,0.08076671965774489,0.49367019404603096
ACME,North America,Skincare,Elizabeth Arden,Mascara,819657,30,-0.06386173884344576,0.060060147731043345,0.05884961519438237,0.42961171697464395
ACME,Europe,Tools,Bobbi Brown,Lipstick,209245,12,-0.037394046855717095,0.14754607359608843,0.09611171420577677,0.3219901339410193
ACME,Asia,Skincare,Frederic Malle,Bronzer,903317,24,-0.09694316326523701,0.06801360598573268,0.023846504983054913,0.21811278819317992
ACME,Africa,Fragrance,Balmain,Eye Liner,509264,30,-0.0030108658118236653,0.05084945007886951,0.053064177390569664,0.17907915541743225
ACME,Africa,Makeup,Elizabeth Arden,Mascara,95333,19,-0.007529100795442958,0.05776751659146012,0.058384513605377185,0.245625148718664
ACME,Asia,Skincare,Aveda,Eye Liner,705585,42,-0.006472983741806632,0.18742237946705864,0.054272477777713914,0.36678781181928255
ACME,Europe,Fragrance,Elizabeth Arden,Lipstick,282951,15,-0.06349965044162817,0.1862695271390591,0.08221764584608329,0.2788246222163294
ACME,South America,Skincare,Elizabeth Arden,Lipstick,16402,11,-0.046810904234090026,0.08387365816460507,0.07033626019147277,0.4736239280337945
ACME,North America,Tools,Balmain,Bronzer,14521,38,-0.004586939694242481,0.13205918221979396,0.021399261932643555,0.44168813718629296
ACME,Africa,Fragrance,Balmain,Face Cream,728525,49,-0.009765394357241344,0.19325423933988894,0.04118061766087544,0.14096024638515958
ACME,Europe,Tools,Bobbi Brown,Foundation,785173,42,-0.020975552409885273,0.12450591945451439,0.04051691635481978,0.152610089554284
ACME,North America,Hair,Bobbi Brown,Hair Dye,911125,13,-0.05926684101524076,0.1090366730218637,0.060906897351363586,0.37049567412004436
ACME,Asia,Fragrance,Frederic Malle,Mascara,18382,13,-0.04356607768178266,0.1224873041066937,0.036231257589210725,0.19230735599214174
ACME,Africa,Skincare,Aveda,Face Cream,526243,38,-0.020708752578335238,0.16853236423279166,0.020554459259851957,0.4164119508047005
ACME,South America,Hair,Bobbi Brown,Mascara,907428,46,-0.07269880044599683,0.1215916448799853,0.06883143990914219,0.3365432569305412
ACME,Asia,Tools,Balmain,Foundation,505873,29,-0.03735506317718887,0.16749165219235546,0.08659332446815203,0.19193221109334002
ACME,Africa,Tools,Elizabeth Arden,Foundation,549353,32,-0.017206567514814322,0.11475461684613995,0.09384472859193316,0.2914747189922365
ACME,Europe,Skincare,Frederic Malle,Toner,357614,27,-0.02925452082670986,0.08780085068170743,0.09753205758935284,0.26243051694681335
ACME,North America,Hair,Bobbi Brown,Eye Liner,24425,34,-0.05205193688089993,0.0989709094727931,0.08030051615881126,0.44926374367576194
ACME,North America,Makeup,Elizabeth Arden,Bronzer,809543,10,-0.04153916404448417,0.0616735196955749,0.022573218546271194,0.11286498999082012
ACME,Africa,Skincare,Elizabeth Arden,Toner,181871,24,-0.001132445685420591,0.12460717166139147,0.08678006418130521,0.458337556186716
ACME,Asia,Tools,Bobbi Brown,Lipstick,587545,43,-0.03980122053527899,0.07221663873335346,0.04599640660442266,0.3608330731518974
ACME,South America,Fragrance,Aveda,Hair Dye,920422,29,-0.02143822459813563,0.17173205095020994,0.07569201824131273,0.3950152750193515
ACME,Europe,Hair,Aveda,Bronzer,726537,46,-0.027339523562233736,0.11308858612353413,0.05781412044647523,0.1010429853570535
ACME,Africa,Makeup,Frederic Malle,Lipstick,924245,36,-0.029850938447063685,0.16475034859875848,0.08457455202839054,0.35129577361489295
ACME,Europe,Fragrance,Aveda,Eye Liner,353190,31,-0.02836309448859564,0.19316906413079504,0.04829551595557198,0.33539446548441043
ACME,North America,Hair,Frederic Malle,Eye Liner,834283,14,-0.054559024871853615,0.1774216924569854,0.01556144296660187,0.3148822225545199
ACME,South America,Skincare,Balmain,Eye Liner,543104,43,-0.05258398254818747,0.19271955196187296,0.060114133979422384,0.41434674268235405
ACME,Europe,Skincare,Bobbi Brown,Toner,481069,48,-0.05321372626392177,0.13519047903060954,0.025416149920090586,0.32234843855860207
ACME,Africa,Hair,Elizabeth Arden,Fragrance,12175,12,-0.0966745392787392,0.07479866509708129,0.09689658691176305,0.4428388758239431
ACME,South America,Makeup,Frederic Malle,Face Cream,283485,26,-0.07589346696676766,0.19030939312755513,0.05742667592429425,0.19305259456385537
ACME,Asia,Hair,Aveda,Foundation,860340,33,-0.08454359933501172,0.18027565858951566,0.05982029144535345,0.4223930355886799
ACME,Africa,Fragrance,Frederic Malle,Hair Dye,691014,33,-0.011355498860274274,0.17966194866003932,0.0916539141533336,0.17172510912992228
ACME,Europe,Fragrance,Frederic Malle,Foundation,464111,12,-0.0725030633547051,0.1539911641113078,0.06621267206360575,0.42524711678759197
ACME,South America,Skincare,Aveda,Fragrance,593984,16,-0.08615573655344597,0.14373743932791194,0.03724564394707365,0.47618540753142713
ACME,Africa,Hair,Aveda,Bronzer,198961,34,-0.08802330680891152,0.05220858377919973,0.036648515522203405,0.23427765692415364
ACME,South America,Skincare,Bobbi Brown,Lipstick,228216,12,-0.03000101654478414,0.16220811036321747,0.055142078491581065,0.31195452559207554
ACME,South America,Makeup,Elizabeth Arden,Lipstick,355259,24,-0.09939166890850408,0.06373026762242087,0.0879947406036243,0.3633316091692591
ACME,South America,Fragrance,Bobbi Brown,Hair Dye,302338,38,-0.05286955982434918,0.08896264041538637,0.08152564066626507,0.13178866634179787
ACME,Europe,Tools,Bobbi Brown,Toner,438053,38,-0.08811288944018038,0.13272354430270056,0.09664665274511604,0.29763228728164814
ACME,Africa,Tools,Aveda,Hair Dye,472110,19,-0.015033662236409479,0.11775988773140626,0.016469751056698328,0.24423399063529871
ACME,North America,Hair,Aveda,Hair Dye,94358,41,-0.0041549643547541815,0.0523661584657169,0.03414934620679048,0.44898225250052326
ACME,North America,Hair,Elizabeth Arden,Lipstick,182648,32,-0.004124538378509637,0.17359775876775688,0.017218693703235338,0.45067180748333047
ACME,Europe,Tools,Frederic Malle,Eye Liner,374692,48,-0.05580358910532307,0.18182014371288896,0.07759712745121927,0.3803118158188947
ACME,Europe,Hair,Bobbi Brown,Hair Dye,685087,18,-0.03554851755652036,0.15228094152451505,0.022675032023534526,0.36228978983699933
ACME,South America,Fragrance,Elizabeth Arden,Hair Dye,568867,46,-0.04002958634892554,0.13116017879852337,0.018989768619784606,0.39347538371034274
ACME,Africa,Makeup,Bobbi Brown,Foundation,106554,49,-0.06499610986140471,0.19411067583492075,0.06055049863896019,0.24639476040112285
ACME,Africa,Makeup,Frederic Malle,Eye Liner,681915,23,-0.055593550857946886,0.06799343116222879,0.04703362409072427,0.2618076987002502
ACME,Asia,Skincare,Bobbi Brown,Lipstick,849726,13,-0.09356763027667143,0.16068650804974838,0.07435912048862203,0.32148188915548215
ACME,Asia,Fragrance,Balmain,Toner,584065,29,-0.020430096732851274,0.06925409193427969,0.053831385253024576,0.475211250945787
ACME,North America,Hair,Elizabeth Arden,Face Cream,409122,37,-0.07591964878453811,0.10727671983851236,0.048280113634640756,0.3895999496478251
ACME,Asia,Hair,Aveda,Lipstick,50751,23,-0.05394726688636238,0.13782267637564682,0.048295040387227386,0.3203956977984893
ACME,Asia,Skincare,Bobbi Brown,Lipstick,210671,43,-0.05193792663833561,0.16056315357565287,0.08846887423589692,0.4081652059586859
ACME,North America,Skincare,Elizabeth Arden,Hair Dye,118750,22,-0.04392882608486818,0.0505574150407976,0.045570308565021984,0.24835612489537004
ACME,North America,Hair,Elizabeth Arden,Foundation,84180,40,-0.018212336211191005,0.08908968295576644,0.040005741499267014,0.3921866804577483
ACME,Asia,Hair,Bobbi Brown,Fragrance,773274,42,-0.03081189538162503,0.13073005871147308,0.04046815693204565,0.2642704993130801
ACME,Africa,Fragrance,Aveda,Mascara,214750,48,-0.0336936950870808,0.12993105187422604,0.02769407171334013,0.21186456280599444
ACME,Asia,Skincare,Aveda,Foundation,828076,37,-0.047325450419506025,0.14564396524193962,0.08746199655165905,0.343889619008917
ACME,South America,Fragrance,Bobbi Brown,Fragrance,43521,34,-0.09040442450534102,0.09557803713023338,0.023196773352482346,0.37475102386007386
ACME,South America,Hair,Elizabeth Arden,Hair Dye,545852,41,-0.05979915283491386,0.13107938766334037,0.09177496640196449,0.2837174244718257
ACME,South America,Tools,Aveda,Hair Dye,639443,18,-0.004268314870944784,0.07846801661518646,0.035512094971990565,0.3262002925422006
ACME,Europe,Tools,Bobbi Brown,Toner,998144,37,-0.000445192471174749,0.07803083216051833,0.09094841399564622,0.3776264299423827
ACME,South America,Hair,Bobbi Brown,Fragrance,430515,40,-0.026950185389908177,0.13648459451339104,0.08117385911331194,0.40708402062300386
ACME,Africa,Skincare,Bobbi Brown,Bronzer,451174,26,-0.0772485036925355,0.15282088775680117,0.062378876885532286,0.4582285916332305
ACME,Europe,Tools,Elizabeth Arden,Mascara,197150,32,-0.08981093539966041,0.0680599950021932,0.07025230035267392,0.24181768250573127
ACME,Europe,Skincare,Aveda,Toner,416637,22,-0.05852356409538008,0.0684184852856335,0.0393259681742435,0.4805909011410374
ACME,South America,Tools,Elizabeth Arden,Foundation,360891,19,-0.014342809764066433,0.13479540371906756,0.06168057528948962,0.354911924049235
ACME,Asia,Skincare,Balmain,Foundation,807634,25,-0.027813576010499955,0.09051436284254685,0.03631626106540274,0.41508075307957915
ACME,North America,Tools,Aveda,Fragrance,381551,15,-0.011610776245889506,0.10885986533616718,0.046204553250141556,0.3799076173925754
ACME,Asia,Skincare,Elizabeth Arden,Foundation,969689,20,-0.03842236853023478,0.11011226714713669,0.07881962997063204,0.18222869013936266
ACME,Asia,Fragrance,Aveda,Bronzer,669045,12,-0.08696716354103078,0.07678292889273747,0.03195393074291946,0.12857535320353133
ACME,Europe,Skincare,Balmain,Hair Dye,100197,37,-0.0885204033001836,0.050197195014593965,0.0854961414253784,0.39051458560724817
ACME,Europe,Fragrance,Frederic Malle,Fragrance,52637,24,-0.09519976973698707,0.17797277149535112,0.04382945682984969,0.30442106711783057
ACME,Europe,Fragrance,Bobbi Brown,Foundation,683726,22,-0.0432920029426469,0.15725029533465326,0.057895296477056296,0.3808853473633299
ACME,Africa,Hair,Elizabeth Arden,Hair Dye,506464,26,-0.0757113763375211,0.15358078371733486,0.0947764438806586,0.2907371215661839
ACME,Africa,Fragrance,Balmain,Eye Liner,34276,16,-0.026561635864504954,0.13197577071699795,0.07131300671681874,0.22489380816660162
