Portfolio,Geography,Category,Brand,Segment,Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Hair/Body,Africa,Fragrance,Brand E,Soap,5374,52,-0.04864169261030668,0.11640154941596624,0.08690738289151709,0.36396985607929433
Hair/Body,Africa,Skincare,Brand A,Cream,5238,43,-0.02350812127202151,0.13561713764283265,0.0876323921725444,0.4947232642440956
Hair/Body,Africa,Skincare,Brand A,Conditioner,4778,47,-0.10476815308497939,0.22479106924998882,0.06380946235423723,0.2551045188051875
Hair/Body,Africa,Skincare,Brand B,Deodorant,4297,35,-0.14447456321823132,0.2920373184979211,0.09177368741066945,0.30840436444333863
Hair/Body,Africa,Skincare,Brand B,Lotion,2421,57,-0.06727546168958272,0.15370357630542786,0.09683131194705252,0.2840142024774711
Hair/Body,Africa,Skincare,Brand C,Body Wash,9746,54,-0.08487073533484012,0.16708619727550073,0.06482306447893985,0.34447222086247564
Hair/Body,Africa,Skincare,Brand C,Lotion,3477,50,-0.000543870339197311,0.22751003298747402,0.053644512267526645,0.29468482783005684
Hair/Body,Africa,Skincare,Brand D,Lotion,8130,56,-0.04905950100541426,0.2133804228830627,0.059998339837992555,0.28973697868138854
Hair/Body,Africa,Skincare,Brand D,Cream,2028,33,-0.02945917102981091,0.15338970319115303,0.057294706212657726,0.3424041757951267
Hair/Body,Africa,Skincare,Brand E,Lotion,5576,16,-0.07715502969400523,0.2969680182042262,0.07209800219013139,0.38200766439565115
Hair/Body,Africa,Skincare,Brand E,Cream,6836,35,-0.05686684124832185,0.22510696426367252,0.08651877206903918,0.41245175765783537
CC/Fragrances,North America,Hair,Brand A,Body Wash,8024,54,-0.0450577161926911,0.21962767200801198,0.08687687653245957,0.3282383347877004
CC/Fragrances,North America,Hair,Brand A,Perfume,5433,46,-0.09033295624155671,0.265584592991581,0.09483998913264617,0.23860974828494838
CC/Fragrances,North America,Hair,Brand B,Deodorant,8492,56,-0.10188576482761161,0.23827862561821764,0.056205771003576016,0.2942985769312292
CC/Fragrances,North America,Hair,Brand B,Lotion,5493,48,-0.08117826392722906,0.10911356778145134,0.055859532426338676,0.26616282419672604
CC/Fragrances,North America,Hair,Brand C,Shampoo,5875,38,-0.04860288342320292,0.22793371453254607,0.06796372748262565,0.4149556788731489
CC/Fragrances,North America,Hair,Brand C,Body Wash,9233,38,-0.01720906624587351,0.16723526585284854,0.08593590347062324,0.30103147660788565
